Ubicacion,maquina_id,Fecha,UPC,Aceptada,Participante
Ojeda,T15,"2021-12-17 09:44:00",8410297012150,1,2010008901337
Ojeda,T15,"2021-12-17 09:44:00",5449000000996,1,2010008901337
Ojeda,T15,"2021-12-17 09:44:00",5449000011527,1,2010008901337
Ojeda,T15,"2021-12-17 09:44:00",5449000131805,1,2010008901337
Ojeda,T15,"2021-12-17 09:44:00",5449000011527,1,2010008901337
Ojeda,T15,"2021-12-17 09:44:00",5449000011527,1,2010008901337
Ojeda,T15,"2021-12-17 09:44:00",5449000011527,1,2010008901337
Ojeda,T15,"2021-12-17 09:44:00",5449000011527,1,2010008901337
Ojeda,T15,"2021-12-17 09:44:00",5449000131805,1,2010008901337
Ojeda,T15,"2021-12-17 09:45:00",8411485050107,1,2010008901337
Ojeda,T15,"2021-12-17 09:45:00",20477295,0,008d774b-1527-467b-8be9-e2a23a6ac097
Ojeda,T15,"2021-12-17 09:45:00",8410297012150,1,2010008901337
Ojeda,T15,"2021-12-17 09:45:00",5449000131805,1,2010008901337
Ojeda,T15,"2021-12-17 09:45:00",5449000000996,1,2010008901337
Ojeda,T15,"2021-12-17 09:45:00",5449000000996,1,2010008901337
Ojeda,T15,"2021-12-17 09:45:00",8410494301644,0,008d774b-1527-467b-8be9-e2a23a6ac097
Ojeda,T15,"2021-12-17 09:46:00",5449000000996,1,2010008901337
Ojeda,T15,"2021-12-17 09:46:00",5449000131805,1,2010008901337
Ojeda,T15,"2021-12-17 09:46:00",8410494300036,1,2010008901337
Labra,T26,"2021-12-17 09:47:00",8410297012150,1,2010006693029
Labra,T26,"2021-12-17 09:47:00",8410297012150,1,2010006693029
Labra,T26,"2021-12-17 09:47:00",8430807015389,1,2010006693029
Labra,T26,"2021-12-17 09:47:00",8480000206299,1,2010006693029
Labra,T26,"2021-12-17 09:47:00",1058410297012,0,008d774b-1527-467b-8be9-e2a23a6ac097
Labra,T26,"2021-12-17 09:47:00",8410297012150,1,2010006693029
Labra,T26,"2021-12-17 09:48:00",8410408050361,1,2010006693029
Labra,T26,"2021-12-17 09:48:00",8430807015389,1,2010006693029
Labra,T26,"2021-12-17 09:48:00",8410297012150,1,2010006693029
Labra,T26,"2021-12-17 09:49:00",8410297012150,1,2010006693029
Labra,T26,"2021-12-17 09:49:00",8410297012150,1,2010006693029
Florida,T49,"2021-12-17 09:46:00",httpsl.ead.mebbrZDA,0,008d774b-1527-467b-8be9-e2a23a6ac097
Florida,T49,"2021-12-17 09:46:00",5449000000996,1,2010008198584
Florida,T49,"2021-12-17 09:46:00",5449000000996,1,2010008198584
